  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
125660 99999 201701012200 230   4 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   21   16 1018.1 *****  987.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201701012230 210   6 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   21   16 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701012300 360   0 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   21   17 1017.7 *****  986.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201701012330 990   2 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   21   18 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020000 280   2 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   20   17 1017.1 *****  986.1 *** *** *****  0.00 ***** ***** ** 
125660 99999 201701020030 990   1 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   19   16 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020100 280   2 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   20   18 1016.8 *****  985.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201701020130 990   1 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   19   16 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020200 220   4 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   20   18 1016.3 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020230 210   2 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   19   16 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020300 250   3 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   19   18 1015.8 *****  984.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201701020330 210   2 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   19   16 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020400 130   2 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   18   16 1015.3 *****  984.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701020430 990   1 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   18   14 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020500 220   6 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** 0   21   18 1014.8 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020530 240  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   18 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020600 210   7 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   23   16 1014.9 *****  984.2  26  17 ***** ***** *****  0.00 ** 
125660 99999 201701020630 270  15 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30   19 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020700 260  17 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   32   21 1014.8 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020730 270  16 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   21 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020800 250  22 *** *** SCT * * *  9.4 ** ** ** ** ** ** ** ** *   32   21 1014.9 *****  984.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201701020830 250  21 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   21 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701020900 260  18 ***  26 *** * * *  9.4 ** ** ** ** ** ** ** ** *   34   23 1014.5 *****  984.4 *** *** ***** ***** ***** ***** ** 
125660 99999 201701020930 250  16 ***  30 *** * * *  6.2 ** ** ** ** ** ** ** ** *   34   23 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021000 260  18 ***  26 *** * * *  9.4 ** ** ** ** ** ** ** ** *   34   23 1014.1 *****  984.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201701021030 260  16 ***  30 *** * * *  6.2 ** ** ** ** ** ** ** ** *   34   21 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021100 270  16 ***  30 OVC * * *  9.4 ** ** ** ** ** ** ** ** *   35   23 1013.9 *****  983.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201701021130 260  16 ***  30 *** * * *  6.2 ** ** ** ** ** ** ** ** *   34   23 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021200 250  16 ***  33 OVC * * *  6.2 ** ** ** ** ** ** ** ** *   34   23 1014.0 *****  984.0 *** *** *****  0.00 ***** ***** ** 
125660 99999 201701021230 250  15 ***  30 *** * * *  3.8 71 ** ** ** ** ** ** ** *   32   25 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021300 250  13 ***  20 *** * * *  3.1 71 10 ** ** ** ** ** ** 7   30   27 1014.2 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021330 250  15 ***  20 *** * * *  0.9 73 10 ** ** ** ** ** ** *   30   27 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021400 250  11 ***  17 OVC * * *  1.9 71 10 ** ** ** ** ** ** 7   30   27 1014.4 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021430 230  10 ***  17 *** * * *  1.6 71 10 ** ** ** ** ** ** *   30   27 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021500 230   9 ***  17 OVC * * *  1.2 71 ** ** ** ** ** ** ** 7   30   28 1014.4 *****  984.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201701021530 230  11 ***  14 *** * * *  0.9 73 10 ** ** ** ** ** ** *   30   28 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021600 250  13 ***   9 OVC * * *  0.9 73 ** ** ** ** ** ** ** 7   30   29 1014.7 *****  984.4 *** *** ***** ***** ***** ***** ** 
125660 99999 201701021630 250  16 ***  10 *** * * *  1.9 71 10 ** ** ** ** ** ** *   30   28 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021700 240  13 ***  10 OVC * * *  1.9 71 ** ** ** ** ** ** ** 7   29   28 1015.0 *****  984.6 *** *** ***** ***** ***** ***** ** 
125660 99999 201701021730 240  15 ***   9 *** * * *  3.1 71 10 ** ** ** ** ** ** *   28   27 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021800 240  13 ***   9 OVC * * *  2.5 71 ** ** ** ** ** ** ** 7   29   28 1015.7 *****  985.3  35  23 ***** ***** *****  0.08 ** 
125660 99999 201701021830 240  13 ***   9 *** * * *  2.5 71 10 ** ** ** ** ** ** *   28   27 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
