time,value
2017-04-04 07:19:00,90
2017-04-04 07:20:00,90
2017-04-04 07:28:00,90
2017-04-04 09:07:00,45
2017-04-04 09:08:00,45
2017-04-04 09:11:00,45
2017-04-04 09:12:00,45
2017-04-04 09:13:00,45
2017-04-04 09:17:00,45
2017-04-04 10:08:00,292
2017-04-04 10:09:00,292
2017-04-04 10:11:00,292
2017-04-04 10:12:00,292
2017-04-04 10:12:00,225
2017-04-04 10:13:00,225
2017-04-04 10:16:00,225
2017-04-04 10:19:00,225
2017-04-04 10:23:00,225
2017-04-04 10:59:00,180
2017-04-04 11:00:00,180
2017-04-04 11:01:00,180
2017-04-04 11:04:00,180
2017-04-04 11:05:00,180
2017-04-04 11:09:00,180
2017-04-04 11:11:00,180
2017-04-04 11:12:00,180
2017-04-04 11:13:00,180
2017-04-04 11:15:00,180
2017-04-04 11:16:00,180
2017-04-04 11:21:00,180
2017-04-04 13:06:00,270
2017-04-04 13:07:00,270
2017-04-04 13:08:00,270
2017-04-04 13:09:00,270
2017-04-04 13:12:00,270
2017-04-04 13:15:00,270
2017-04-04 13:15:00,315
2017-04-04 13:16:00,315
2017-04-04 13:17:00,315
2017-04-04 13:19:00,315
2017-04-04 13:20:00,315
2017-04-04 13:21:00,315
2017-04-04 13:25:00,315
2017-04-04 13:47:00,292
2017-04-04 13:48:00,292
2017-04-04 13:49:00,292
2017-04-04 13:51:00,292
2017-04-04 13:52:00,292
2017-04-04 13:53:00,292
2017-04-04 13:56:00,292
2017-04-04 13:56:00,315
2017-04-04 13:57:00,315
2017-04-04 13:59:00,315
2017-04-04 14:00:00,315
2017-04-04 14:03:00,315
2017-04-04 14:07:00,315
2017-04-04 15:14:00,315
2017-04-04 15:16:00,315
2017-04-04 15:17:00,315
2017-04-04 15:18:00,315
2017-04-04 15:19:00,315
2017-04-04 15:20:00,315
2017-04-04 15:21:00,315
2017-04-04 15:27:00,315
2017-04-04 15:28:00,270
2017-04-04 15:29:00,270
2017-04-04 15:31:00,270
2017-04-04 15:32:00,270
2017-04-04 15:33:00,270
