time,value
2017-03-08 08:58:00,88
2017-03-08 08:58:00,89
2017-03-08 08:58:00,79
2017-03-08 09:00:00,80
2017-03-08 09:00:00,79
2017-03-08 09:00:00,81
2017-03-08 10:01:00,79
2017-03-08 10:01:00,78
2017-03-08 10:01:00,77
2017-03-08 10:01:00,76
2017-03-08 10:01:00,75
2017-03-08 10:01:00,74
2017-03-08 10:02:00,74
2017-03-08 10:02:00,73
2017-03-08 10:02:00,72
2017-03-08 10:04:00,72
2017-03-08 10:04:00,68
2017-03-08 10:04:00,67
2017-03-08 10:04:00,66
2017-03-08 10:04:00,65
2017-03-08 10:04:00,64
2017-03-08 10:04:00,62
2017-03-08 10:04:00,61
2017-03-08 10:05:00,62
2017-03-08 10:05:00,63
2017-03-08 10:05:00,64
2017-03-08 10:06:00,63
2017-03-08 10:06:00,62
2017-03-08 10:07:00,63
2017-03-08 10:07:00,62
2017-03-08 10:07:00,61
2017-03-08 10:07:00,60
2017-03-08 10:07:00,59
2017-03-08 10:07:00,58
2017-03-08 10:07:00,57
2017-03-08 10:07:00,56
2017-03-08 10:08:00,57
2017-03-08 10:08:00,58
2017-03-08 10:08:00,59
2017-03-08 10:08:00,60
2017-03-08 10:09:00,58
2017-03-08 10:09:00,59
2017-03-08 10:11:00,58
2017-03-08 10:11:00,60
2017-03-08 10:11:00,61
2017-03-08 10:12:00,60
2017-03-08 10:12:00,61
2017-03-08 10:12:00,62
2017-03-08 10:12:00,63
2017-03-08 10:12:00,64
2017-03-08 10:12:00,65
2017-03-08 10:12:00,66
2017-03-08 10:12:00,67
2017-03-08 10:12:00,69
2017-03-08 10:14:00,70
2017-03-08 10:14:00,71
2017-03-08 10:14:00,72
2017-03-08 10:14:00,73
2017-03-08 10:16:00,72
2017-03-08 10:16:00,68
2017-03-08 10:16:00,69
2017-03-08 10:16:00,70
2017-03-08 10:17:00,72
2017-03-08 10:17:00,76
2017-03-08 10:17:00,75
2017-03-08 10:17:00,74
2017-03-08 10:17:00,73
2017-03-08 10:19:00,73
2017-03-08 10:19:00,74
2017-03-08 10:19:00,75
2017-03-08 10:21:00,75
2017-03-08 10:21:00,80
2017-03-08 10:21:00,82
2017-03-08 10:21:00,81
2017-03-08 10:21:00,79
2017-03-08 10:22:00,81
2017-03-08 10:22:00,79
2017-03-08 10:22:00,78
2017-03-08 10:25:00,78
2017-03-08 10:25:00,77
2017-03-08 10:25:00,76
2017-03-08 10:25:00,75
2017-03-08 10:25:00,80
2017-03-08 10:25:00,81
2017-03-08 10:25:00,79
2017-03-08 10:26:00,83
2017-03-08 10:26:00,84
2017-03-08 10:26:00,85
2017-03-08 10:26:00,81
2017-03-08 10:27:00,81
2017-03-08 10:27:00,80
2017-03-08 10:27:00,79
2017-03-08 10:27:00,77
2017-03-08 10:27:00,76
2017-03-08 10:27:00,75
2017-03-08 10:27:00,74
2017-03-08 10:28:00,75
2017-03-08 10:28:00,77
2017-03-08 10:28:00,78
2017-03-08 10:28:00,80
2017-03-08 10:28:00,82
2017-03-08 10:28:00,81
2017-03-08 10:29:00,81
2017-03-08 10:29:00,80
2017-03-08 10:29:00,79
2017-03-08 10:29:00,78
2017-03-08 10:29:00,77
2017-03-08 10:29:00,76
2017-03-08 10:29:00,75
2017-03-08 10:29:00,74
2017-03-08 10:29:00,73
2017-03-08 10:29:00,72
2017-03-08 10:29:00,71
2017-03-08 10:29:00,70
2017-03-08 10:29:00,69
2017-03-08 10:29:00,68
2017-03-08 10:29:00,67
2017-03-08 10:29:00,66
2017-03-08 10:29:00,63
2017-03-08 10:29:00,62
2017-03-08 10:30:00,62
2017-03-08 10:30:00,63
2017-03-08 10:30:00,64
2017-03-08 10:30:00,65
2017-03-08 10:30:00,66
2017-03-08 10:30:00,67
2017-03-08 10:30:00,68
2017-03-08 10:30:00,72
2017-03-08 10:31:00,63
2017-03-08 10:31:00,62
2017-03-08 10:31:00,64
2017-03-08 10:31:00,65
2017-03-08 10:31:00,60
2017-03-08 10:31:00,58
2017-03-08 10:31:00,57
2017-03-08 10:31:00,56
2017-03-08 10:31:00,55
2017-03-08 10:31:00,53
2017-03-08 10:32:00,52
2017-03-08 10:32:00,49
2017-03-08 10:32:00,48
2017-03-08 10:32:00,47
2017-03-08 10:32:00,46
2017-03-08 10:32:00,45
2017-03-08 10:32:00,44
2017-03-08 10:32:00,43
2017-03-08 10:32:00,42
2017-03-08 10:33:00,42
2017-03-08 10:33:00,43
2017-03-08 10:33:00,41
2017-03-08 10:33:00,40
2017-03-08 10:33:00,39
2017-03-08 10:33:00,37
2017-03-08 10:33:00,36
2017-03-08 10:33:00,35
2017-03-08 10:33:00,34
2017-03-08 10:33:00,33
2017-03-08 10:34:00,33
2017-03-08 10:34:00,32
2017-03-08 10:34:00,31
2017-03-08 10:34:00,34
2017-03-08 10:35:00,33
2017-03-08 10:35:00,34
2017-03-08 10:35:00,36
2017-03-08 10:35:00,37
2017-03-08 10:35:00,38
2017-03-08 10:35:00,39
2017-03-08 10:35:00,40
2017-03-08 10:35:00,41
2017-03-08 10:35:00,42
2017-03-08 10:35:00,43
2017-03-08 10:35:00,44
2017-03-08 10:35:00,45
2017-03-08 10:35:00,46
2017-03-08 10:35:00,47
2017-03-08 10:35:00,48
2017-03-08 10:36:00,48
2017-03-08 10:36:00,49
2017-03-08 10:36:00,47
2017-03-08 10:36:00,46
2017-03-08 10:36:00,44
2017-03-08 10:36:00,43
2017-03-08 10:36:00,42
2017-03-08 10:37:00,42
2017-03-08 10:37:00,41
2017-03-08 10:37:00,40
2017-03-08 10:37:00,39
2017-03-08 10:37:00,38
2017-03-08 10:37:00,37
2017-03-08 10:37:00,36
2017-03-08 10:37:00,34
2017-03-08 10:37:00,35
2017-03-08 10:38:00,36
2017-03-08 10:38:00,35
2017-03-08 10:38:00,37
2017-03-08 10:38:00,38
2017-03-08 10:39:00,38
2017-03-08 10:39:00,39
2017-03-08 10:39:00,40
2017-03-08 10:39:00,41
2017-03-08 10:39:00,42
2017-03-08 10:39:00,43
2017-03-08 10:39:00,44
2017-03-08 10:39:00,45
2017-03-08 10:39:00,46
2017-03-08 10:39:00,47
2017-03-08 10:40:00,47
2017-03-08 10:40:00,48
2017-03-08 10:40:00,49
2017-03-08 10:40:00,50
2017-03-08 10:40:00,51
