time,value
2017-05-02 10:44:00,8.9
2017-05-02 10:44:00,8.8
2017-05-02 10:44:00,8.6
2017-05-02 10:44:00,8.5
2017-05-02 10:44:00,8.4
2017-05-02 10:44:00,8.3
2017-05-02 10:44:00,8.2
2017-05-02 10:44:00,8.1
2017-05-02 10:44:00,8
2017-05-02 10:44:00,7.9
2017-05-02 10:44:00,7.8
2017-05-02 10:44:00,7.7
2017-05-02 10:45:00,7.4
2017-05-02 10:45:00,7.1
2017-05-02 10:45:00,7
2017-05-02 10:45:00,6.8
2017-05-02 10:45:00,6.7
2017-05-02 10:46:00,6.7
2017-05-02 10:46:00,6.6
2017-05-02 10:46:00,6.5
2017-05-02 10:46:00,6.4
2017-05-02 10:47:00,6.4
2017-05-02 10:47:00,6.3
2017-05-02 10:47:00,6.2
2017-05-02 10:47:00,6.1
2017-05-02 10:47:00,6
2017-05-02 10:47:00,5.9
2017-05-02 10:47:00,5.8
2017-05-02 10:48:00,5.8
2017-05-02 10:48:00,5.7
2017-05-02 10:48:00,5.6
2017-05-02 10:48:00,5.5
2017-05-02 10:51:00,5.3
2017-05-02 10:52:00,5.3
2017-05-02 10:52:00,5.2
2017-05-02 10:52:00,5.1
2017-05-02 10:53:00,5.1
2017-05-02 10:53:00,5
2017-05-02 10:53:00,4.9
2017-05-02 10:53:00,4.8
2017-05-02 10:54:00,4.9
2017-05-02 10:54:00,4.8
2017-05-02 10:54:00,5
2017-05-02 10:55:00,5
2017-05-02 10:55:00,4.9
2017-05-02 10:55:00,4.8
2017-05-02 10:56:00,4.8
2017-05-02 10:56:00,4.7
2017-05-02 10:56:00,4.6
2017-05-02 10:56:00,4.5
2017-05-02 10:57:00,4.5
2017-05-02 10:57:00,4.4
2017-05-02 10:58:00,4.4
2017-05-02 10:58:00,4.3
2017-05-02 10:58:00,4.1
2017-05-02 10:58:00,4
2017-05-02 10:58:00,3.9
2017-05-02 10:58:00,3.8
2017-05-02 10:58:00,3.6
2017-05-02 10:58:00,3.5
2017-05-02 10:58:00,3.4
2017-05-02 10:58:00,3.3
2017-05-02 10:58:00,3.2
2017-05-02 10:59:00,3.2
2017-05-02 10:59:00,3.1
2017-05-02 10:59:00,3
2017-05-02 11:00:00,3
2017-05-02 11:01:00,3.1
2017-05-02 11:01:00,3.2
2017-05-02 11:01:00,3.3
2017-05-02 11:02:00,3.3
2017-05-02 11:02:00,3.4
2017-05-02 11:02:00,3.5
2017-05-02 11:02:00,3.7
2017-05-02 11:02:00,3.8
2017-05-02 11:02:00,3.9
2017-05-02 11:02:00,4
2017-05-02 11:02:00,4.1
2017-05-02 11:02:00,4.3
2017-05-02 11:03:00,4.5
2017-05-02 11:03:00,4.4
2017-05-02 11:04:00,4.4
2017-05-02 11:04:00,4.5
2017-05-02 11:04:00,4.6
2017-05-02 11:04:00,4.7
2017-05-02 11:04:00,4.8
2017-05-02 11:04:00,4.9
2017-05-02 11:05:00,5
2017-05-02 11:05:00,5.1
2017-05-02 11:06:00,5.1
2017-05-02 11:06:00,5
2017-05-02 11:06:00,5.2
2017-05-02 11:06:00,5.3
2017-05-02 11:06:00,5.4
2017-05-02 11:06:00,5.5
2017-05-02 11:06:00,5.6
2017-05-02 11:07:00,5.6
2017-05-02 11:07:00,5.8
2017-05-02 11:07:00,5.5
2017-05-02 11:07:00,5.4
2017-05-02 11:08:00,6.4
2017-05-02 11:08:00,6.5
2017-05-02 11:08:00,6.8
2017-05-02 11:08:00,6.9
2017-05-02 11:08:00,6.7
2017-05-02 11:08:00,6.6
2017-05-02 11:09:00,6.9
2017-05-02 11:09:00,7.1
2017-05-02 11:09:00,7.2
2017-05-02 11:09:00,7.3
2017-05-02 11:10:00,7.3
2017-05-02 11:10:00,7.2
2017-05-02 11:10:00,7.1
2017-05-02 11:10:00,7
2017-05-02 11:10:00,6.9
2017-05-02 11:10:00,6.8
2017-05-02 11:10:00,7.4
2017-05-02 11:10:00,7.5
2017-05-02 11:11:00,7.3
2017-05-02 11:11:00,8
2017-05-02 11:11:00,8.1
2017-05-02 11:11:00,8.5
2017-05-02 11:11:00,8.2
2017-05-02 11:12:00,8.2
2017-05-02 11:12:00,8.4
2017-05-02 11:12:00,8
2017-05-02 11:12:00,8.1
2017-05-02 11:12:00,9.1
2017-05-02 11:12:00,9.3
2017-05-02 11:12:00,9.4
2017-05-02 11:12:00,9.2
2017-05-02 11:13:00,9.3
2017-05-02 11:13:00,9.1
2017-05-02 11:13:00,9
2017-05-02 11:13:00,9.2
2017-05-02 11:14:00,9.3
2017-05-02 11:14:00,9.4
2017-05-02 11:14:00,9.5
2017-05-02 11:14:00,10.1
2017-05-02 11:14:00,10
2017-05-02 11:14:00,9.7
2017-05-02 11:14:00,9.6
2017-05-02 11:14:00,9.2
2017-05-02 11:15:00,9
2017-05-02 11:15:00,8.9
2017-05-02 11:15:00,8.7
2017-05-02 11:15:00,8.8
2017-05-02 11:15:00,8.6
2017-05-02 11:15:00,8.5
2017-05-02 11:16:00,8.5
2017-05-02 11:16:00,8.4
2017-05-02 11:16:00,8.3
2017-05-02 11:16:00,8.6
2017-05-02 11:16:00,8.7
2017-05-02 11:17:00,8.7
2017-05-02 11:17:00,8.8
2017-05-02 11:17:00,8.5
2017-05-02 11:18:00,8.5
2017-05-02 11:18:00,7.6
2017-05-02 11:18:00,7.5
2017-05-02 11:18:00,7.4
2017-05-02 11:18:00,7
2017-05-02 11:18:00,6.8
2017-05-02 11:18:00,6.6
2017-05-02 11:18:00,6.5
2017-05-02 11:18:00,6.4
2017-05-02 11:18:00,6.3
2017-05-02 11:18:00,5.7
2017-05-02 11:18:00,5.6
2017-05-02 11:19:00,5.6
2017-05-02 11:19:00,5.5
2017-05-02 11:19:00,5.4
2017-05-02 11:19:00,5.3
2017-05-02 11:19:00,5.2
2017-05-02 11:19:00,5.1
2017-05-02 11:19:00,5
2017-05-02 11:19:00,4.9
2017-05-02 11:19:00,4.8
2017-05-02 11:19:00,4.7
2017-05-02 11:19:00,4.6
2017-05-02 11:21:00,4.6
2017-05-02 11:21:00,4.3
2017-05-02 11:21:00,4.2
2017-05-02 11:21:00,3.3
2017-05-02 11:22:00,3.1
2017-05-02 11:23:00,3.1
2017-05-02 11:23:00,3.2
2017-05-02 11:24:00,3.2
