time,value
2017-07-03 14:19:00,2
2017-07-03 14:19:00,1.4
2017-07-03 14:19:00,0.7
2017-07-03 14:19:00,1
2017-07-03 14:19:00,0.3
2017-07-03 14:19:00,0
2017-07-03 14:19:00,1.7
2017-07-03 14:20:00,0.7
2017-07-03 14:20:00,1
2017-07-03 14:20:00,0.3
2017-07-03 14:20:00,1.7
2017-07-03 14:20:00,2.4
2017-07-03 14:20:00,3.1
2017-07-03 14:20:00,2.7
2017-07-03 14:20:00,1.4
2017-07-03 14:20:00,3.7
2017-07-03 14:20:00,2
2017-07-03 14:20:00,3.4
2017-07-03 14:21:00,2.4
2017-07-03 14:21:00,1.7
2017-07-03 14:21:00,3.7
2017-07-03 14:21:00,4.1
2017-07-03 14:21:00,3.1
2017-07-03 14:21:00,2.7
2017-07-03 14:21:00,3.4
2017-07-03 14:21:00,1.4
2017-07-03 14:21:00,2
2017-07-03 14:21:00,1
2017-07-03 14:21:00,4.4
2017-07-03 14:21:00,0.7
2017-07-03 14:22:00,1.4
2017-07-03 14:22:00,1
2017-07-03 14:22:00,0.7
2017-07-03 14:22:00,0
2017-07-03 14:22:00,0.3
2017-07-03 14:22:00,2
2017-07-03 14:23:00,1
2017-07-03 14:23:00,0.7
2017-07-03 14:23:00,1.4
2017-07-03 14:23:00,2
2017-07-03 14:23:00,0.3
2017-07-03 14:23:00,2.4
2017-07-03 14:23:00,4.1
2017-07-03 14:23:00,3.7
2017-07-03 14:23:00,2.7
2017-07-03 14:23:00,1.7
2017-07-03 14:29:00,1.7
2017-07-03 14:29:00,2
2017-07-03 14:29:00,1
2017-07-03 14:29:00,1.4
2017-07-03 14:29:00,0.7
2017-07-03 14:29:00,0.3
2017-07-03 14:29:00,0
2017-07-03 14:29:00,3.1
2017-07-03 14:29:00,2.4
2017-07-03 14:29:00,3.7
2017-07-03 14:29:00,3.4
2017-07-03 14:30:00,4.1
2017-07-03 14:30:00,4.4
2017-07-03 14:30:00,2.7
2017-07-03 14:30:00,3.1
2017-07-03 14:30:00,3.4
2017-07-03 14:30:00,2
2017-07-03 14:30:00,1.7
2017-07-03 14:30:00,2.4
2017-07-03 14:30:00,1.4
2017-07-03 14:30:00,3.7
2017-07-03 14:50:00,2
2017-07-03 14:50:00,1.7
2017-07-03 14:50:00,1
2017-07-03 14:50:00,0.7
2017-07-03 14:50:00,3.1
2017-07-03 14:50:00,2.7
2017-07-03 14:50:00,2.4
2017-07-03 14:50:00,3.4
2017-07-03 14:50:00,4.1
2017-07-03 14:50:00,1.4
2017-07-03 14:50:00,0.3
2017-07-03 14:51:00,0.7
2017-07-03 14:51:00,1.4
2017-07-03 14:51:00,1
2017-07-03 14:51:00,2
2017-07-03 14:51:00,0.3
2017-07-03 14:51:00,1.7
2017-07-03 14:52:00,0.7
2017-07-03 14:52:00,0.3
2017-07-03 14:52:00,1
2017-07-03 14:52:00,1.7
2017-07-03 14:52:00,1.4
2017-07-03 14:52:00,0
2017-07-03 14:52:00,2
2017-07-03 14:53:00,1.7
2017-07-03 14:53:00,1.4
2017-07-03 14:53:00,2
2017-07-03 14:53:00,1
2017-07-03 14:53:00,0.7
2017-07-03 14:53:00,0.3
2017-07-03 14:55:00,0.3
2017-07-03 14:55:00,0
2017-07-03 14:55:00,0.7
2017-07-03 14:55:00,2.7
2017-07-03 14:55:00,1.7
2017-07-03 14:55:00,1
2017-07-03 14:55:00,2
2017-07-03 14:55:00,2.4
2017-07-03 14:55:00,1.4
2017-07-03 14:56:00,0.3
2017-07-03 14:56:00,1.4
2017-07-03 14:56:00,0
2017-07-03 14:56:00,0.7
2017-07-03 14:57:00,0.3
2017-07-03 14:57:00,0.7
2017-07-03 14:57:00,0
2017-07-03 14:59:00,0.3
2017-07-03 14:59:00,1.4
2017-07-03 14:59:00,1
2017-07-03 14:59:00,0.7
2017-07-03 14:59:00,0
2017-07-03 15:00:00,0
2017-07-03 15:00:00,0.3
2017-07-03 15:00:00,0.7
2017-07-03 15:01:00,0
2017-07-03 15:01:00,0.3
2017-07-03 15:01:00,1.7
2017-07-03 15:01:00,2
2017-07-03 15:01:00,1
2017-07-03 15:01:00,0.7
2017-07-03 15:01:00,1.4
2017-07-03 15:04:00,2
2017-07-03 15:04:00,1
2017-07-03 15:04:00,2.4
2017-07-03 15:04:00,1.7
2017-07-03 15:04:00,1.4
2017-07-03 15:04:00,3.7
2017-07-03 15:05:00,1.7
2017-07-03 15:05:00,3.4
2017-07-03 15:05:00,2
2017-07-03 15:05:00,2.7
2017-07-03 15:05:00,1.4
2017-07-03 15:05:00,0.7
2017-07-03 15:05:00,1
2017-07-03 15:05:00,2.4
2017-07-03 15:05:00,0
2017-07-03 15:05:00,0.3
2017-07-03 15:06:00,1
2017-07-03 15:06:00,0.7
2017-07-03 15:06:00,0.3
2017-07-03 15:06:00,1.7
2017-07-03 15:06:00,1.4
2017-07-03 15:06:00,2
2017-07-03 15:06:00,2.4
2017-07-03 15:06:00,2.7
2017-07-03 15:06:00,3.4
2017-07-03 15:07:00,2
2017-07-03 15:07:00,2.4
2017-07-03 15:07:00,1
2017-07-03 15:07:00,2.7
2017-07-03 15:07:00,1.4
2017-07-03 15:07:00,3.1
2017-07-03 15:07:00,0.7
2017-07-03 15:07:00,1.7
2017-07-03 15:07:00,0
2017-07-03 15:07:00,0.3
2017-07-03 15:08:00,1.7
2017-07-03 15:08:00,2
2017-07-03 15:08:00,2.7
2017-07-03 15:08:00,3.1
2017-07-03 15:08:00,1
2017-07-03 15:08:00,0.7
2017-07-03 15:08:00,1.4
2017-07-03 15:14:00,1.4
2017-07-03 15:14:00,2.7
2017-07-03 15:14:00,3.4
2017-07-03 15:14:00,4.1
2017-07-03 15:14:00,2.4
2017-07-03 15:14:00,4.4
2017-07-03 15:14:00,5.4
2017-07-03 15:14:00,3.1
2017-07-03 15:14:00,1
2017-07-03 15:14:00,1.7
2017-07-03 15:14:00,2
2017-07-03 15:16:00,1.7
2017-07-03 15:16:00,1.4
2017-07-03 15:16:00,1
2017-07-03 15:16:00,2
2017-07-03 15:16:00,4.1
2017-07-03 15:16:00,2.7
2017-07-03 15:16:00,2.4
2017-07-03 15:16:00,0.7
2017-07-03 15:16:00,3.4
2017-07-03 15:16:00,3.1
2017-07-03 15:17:00,3.4
2017-07-03 15:17:00,3.7
2017-07-03 15:17:00,2.4
2017-07-03 15:17:00,1.7
2017-07-03 15:17:00,1.4
2017-07-03 15:17:00,2.7
2017-07-03 15:17:00,2
2017-07-03 15:17:00,3.1
